date,country,yoy
2014-04-01,PT,-0.10997800439912497
2014-05-01,PT,-0.27927388789148466
2014-06-01,PT,-0.2492273950752688
2014-07-01,PT,-0.6791849780263703
2014-08-01,PT,-0.06034396057528202
2014-09-01,PT,-0.04002801961373592
2014-10-01,PT,0.13026052104210262
2014-11-01,PT,0.08041009146648737
2014-12-01,PT,-0.2704326923076983
2015-01-01,PT,-0.36566785170136784
2015-02-01,PT,-0.09164969450101701
2015-03-01,PT,0.4419001707341774
2015-04-01,PT,0.490441397257535
2015-05-01,PT,0.9501900380076034
2015-06-01,PT,0.7595442734359192
2015-07-01,PT,0.7139983909895564
2015-08-01,PT,0.6641843614773046
2015-09-01,PT,0.8909800780859012
2015-10-01,PT,0.7004903432402676
2015-11-01,PT,0.6226775133072238
2015-12-01,PT,0.2912523852566018
2016-01-01,PT,0.7034356203486469
2016-02-01,PT,0.17327489552543263
2016-03-01,PT,0.4699530046995193
2016-04-01,PT,0.5278884462151412
2016-05-01,PT,0.3963142772218209
2016-06-01,PT,0.6744693513191846
2016-07-01,PT,0.7189216175736313
2016-08-01,PT,0.7997600719783948
2016-09-01,PT,0.7045048620758054
2016-10-01,PT,1.053363808009533
2016-11-01,PT,0.519013873640084
2016-12-01,PT,0.8812337272181114
2017-01-01,PT,1.2856853614091834
2017-02-01,PT,1.5974765974765992
2017-03-01,PT,1.3734076433121079
2017-04-01,PT,2.3977013771921074
2017-05-01,PT,1.7270304944241532
2017-06-01,PT,1.0147783251231557
2017-07-01,PT,1.0112025379200862
2017-08-01,PT,1.2793811365665153
2017-09-01,PT,1.6356291260222866
2017-10-01,PT,1.9175926836463741
2017-11-01,PT,1.8071690993943124
2017-12-01,PT,1.6180266031367907
2018-01-01,PT,1.099450274862579
2018-02-01,PT,0.6609914872308664
2018-03-01,PT,0.8148439033968113
2018-04-01,PT,0.3193033381712729
2018-05-01,PT,1.4260768335273566
2018-06-01,PT,1.9896615624695135
2018-07-01,PT,2.227892825596234
2018-08-01,PT,1.312181746964347
2018-09-01,PT,1.8225884634027967
2018-10-01,PT,0.8201466615206376
2018-11-01,PT,0.8777918657953743
2018-12-01,PT,0.634951645990034
2019-01-01,PT,0.5734058329214031
2019-02-01,PT,0.9352303253407523
2019-03-01,PT,0.8179959100204526
2019-04-01,PT,0.8873456790123413
2019-05-01,PT,0.3060736489717941
2019-06-01,PT,0.6694080520225798
2019-07-01,PT,-0.6720430107526876
2019-08-01,PT,-0.11598685482311355
2019-09-01,PT,-0.25706940874035134
2019-10-01,PT,-0.09570293808018882
2019-11-01,PT,0.222372619162714
2019-12-01,PT,0.3688604154533204
2020-01-01,PT,0.8257151282807351
2020-02-01,PT,0.5322819122720368
2020-03-01,PT,0.13522650439485862
2020-04-01,PT,-0.13384321223709472
2020-05-01,PT,-0.6388862401067952
2020-06-01,PT,0.2184857984230959
2020-07-01,PT,-0.0773245698820757
2020-08-01,PT,-0.21288949100057852
2020-09-01,PT,-0.8018327605956554
2020-10-01,PT,-0.5651882364211214
2020-11-01,PT,-0.40517075053058127
2020-12-01,PT,-0.29013539651838727
2021-01-01,PT,0.18523934873746484
2021-02-01,PT,0.2745367192862114
2021-03-01,PT,0.12539789717371796
2021-04-01,PT,-0.09573042312845947
2021-05-01,PT,0.4798464491362786
2021-06-01,PT,-0.5592417061611399
2021-07-01,PT,1.1124008512284789
2021-08-01,PT,1.2509697439875733
2021-09-01,PT,1.3183217859892293
2021-10-01,PT,1.820809248554922
2021-11-01,PT,2.6346377373111185
2021-12-01,PT,2.783705140640169
2022-01-01,PT,3.3962631374075514
2022-02-01,PT,4.370783220885888
2022-03-01,PT,5.481695568400768
2022-04-01,PT,7.3878880797240365
2022-05-01,PT,8.089780324737351
2022-06-01,PT,9.017252883423899
2022-07-01,PT,9.432698746771262
2022-08-01,PT,9.347763624173933
2022-09-01,PT,9.810998195460163
2022-10-01,PT,10.568644147979933
2022-11-01,PT,10.249150622876568
2022-12-01,PT,9.804661696706617
2023-01-01,PT,8.649411764705883
2023-02-01,PT,8.572231590781353
2023-03-01,PT,7.97333089779888
2023-04-01,PT,6.852859819755519
2023-05-01,PT,5.3901210568171765
2023-06-01,PT,4.739004983824424
2023-07-01,PT,4.318559314625392
2023-08-01,PT,5.31663309100463
2023-09-01,PT,4.808856599204292
2023-10-01,PT,3.2431969878487177
2023-11-01,PT,2.199965759287803
2023-12-01,PT,1.890684083877625
2024-01-01,PT,2.529452529452536
2024-02-01,PT,2.2866511346967044
2024-03-01,PT,2.571476907460668
2024-04-01,PT,2.3382045929018824
2024-05-01,PT,3.8232581537687604
2024-06-01,PT,3.0636947992319863
2024-07-01,PT,2.6732590295818204
2024-08-01,PT,1.771457085828354
2024-09-01,PT,2.55817791714803
2024-10-01,PT,2.644011603812668
2024-11-01,PT,2.6719155708183173
2024-12-01,PT,3.1039136302294157
2025-01-01,PT,2.695167286245348
2025-02-01,PT,2.4633035262358494
2025-03-01,PT,1.8802572983671384
2025-04-01,PT,2.113423092615263
2025-05-01,PT,1.7039489622870052
2025-06-01,PT,2.0735460878017253
2025-07-01,PT,2.4975514201762916
2025-08-01,PT,2.5169567704502738
2025-09-01,PT,1.9230769230769162
2025-11-01,PT,2.1455376080926625
2025-12-01,PT,2.3887434554973774
1997-01-01,US,3.0381383322559907
1997-02-01,US,3.0322580645161246
1997-03-01,US,2.7652733118971096
1997-04-01,US,2.434336963484962
1997-05-01,US,2.237851662404089
1997-06-01,US,2.233567326100827
1997-07-01,US,2.165605095541401
1997-08-01,US,2.2900763358778775
1997-09-01,US,2.21940393151554
1997-10-01,US,2.0859671302149163
1997-11-01,US,1.8903591682419618
1997-12-01,US,1.6970458830924073
1998-01-01,US,1.6311166875784044
1998-02-01,US,1.440200375704448
1998-03-01,US,1.3767209011263937
1998-04-01,US,1.4383989993745905
1998-05-01,US,1.6885553470919357
1998-06-01,US,1.6229712858926382
1998-07-01,US,1.74563591022443
1998-08-01,US,1.6169154228855787
1998-09-01,US,1.4267990074441794
1998-10-01,US,1.4860681114551078
1998-11-01,US,1.4842300556586308
1998-12-01,US,1.606922126081578
1999-01-01,US,1.6666666666666607
1999-02-01,US,1.6666666666666607
1999-03-01,US,1.7283950617283939
1999-04-01,US,2.281134401972884
1999-05-01,US,2.091020910209096
1999-06-01,US,1.9656019656019597
1999-07-01,US,2.1446078431372584
1999-08-01,US,2.2643818849449104
1999-09-01,US,2.629969418960254
1999-10-01,US,2.56253813300793
1999-11-01,US,2.6203534430225606
1999-12-01,US,2.676399026763998
2000-01-01,US,2.792956891317555
2000-02-01,US,3.2179720704310855
2000-03-01,US,3.762135922330101
